dof_id,euring_id,species_euring_id,latin,common,type,iucn,iba_amnt,times_seen,breeding_status,last_confirmed_breeding,invasive,Atlas_III_squares_with_breeding,use_in_analysis
339,01700,01700,Alopochen aegyptiaca,Egyptian Goose,species,LC,NA,29,Regular,2017,1,38,1
345,01730,01730,Tadorna tadorna,Common Shelduck,species,LC,2500,11281,Regular,2017,NA,880,1
350,01750,01750,Cairina moschata,Muscovy Duck,species,LC,NA,6,NA,NA,NA,NA,0
353,01780,01780,Aix galericulata,Mandarin Duck,species,LC,NA,5,Occasional,2006,1,NA,0
354,01790,01790,Mareca penelope,Eurasian Wigeon,species,LC,14000,1072,NA,NA,NA,1,1
361,01820,01820,Mareca strepera,Gadwall,species,LC,1200,351,NA,NA,NA,184,1
363,01830,01830,Sibirionetta formosa,Baikal Teal,species,LC,NA,2,NA,NA,NA,NA,0
365,01840,01840,Anas crecca,Eurasian Teal,species,LC,5000,984,Regular,2017,NA,62,1
371,01860,01860,Anas platyrhynchos,Mallard,species,LC,53000,34919,Regular,2017,NA,1644,1
375,01890,01890,Anas acuta,Northern Pintail,species,LC,600,82,Regular,2017,NA,22,1
378,01910,01910,Spatula querquedula,Garganey,species,LC,13400,133,NA,NA,NA,88,1
383,01940,01940,Spatula clypeata,Northern Shoveler,species,LC,650,691,NA,NA,NA,187,1
386,01960,01960,Netta rufina,Red-crested Pochard,species,LC,550,14,Regular,2017,NA,3,1
389,01980,01980,Aythya ferina,Common Pochard,species,VU,2000,1420,Regular,2017,NA,157,1
397,02030,02030,Aythya fuligula,Tufted Duck,species,LC,8900,5843,Regular,2017,NA,333,1
399,02040,02040,Aythya marila,Greater Scaup,species,LC,3100,76,Occasional,2006,NA,0,0
403,02060,02060,Somateria mollissima,Common Eider,species,NT,9800,3977,Regular,2017,NA,167,1
414,02120,02120,Clangula hyemalis,Long-tailed Duck,species,VU,16000,169,NA,NA,NA,NA,0
415,02130,02130,Melanitta nigra,Common Scoter,species,LC,7500,267,NA,NA,NA,NA,0
419,02150,02150,Melanitta fusca,Velvet Scoter,species,VU,4000,65,NA,NA,NA,NA,0
424,02180,02180,Bucephala clangula,Common Goldeneye,species,LC,11400,4745,Regular,2017,NA,49,1
427,02200,02200,Mergellus albellus,Smew,species,LC,300,342,NA,NA,NA,NA,0
428,02210,02210,Mergus serrator,Red-breasted Merganser,species,LC,860,3364,Regular,2017,NA,221,1
431,02230,02230,Mergus merganser,Common Merganser,species,LC,2100,3264,Regular,2017,NA,81,1
